,Unnamed: 0,revid,parentid,user,userid,timestamp,size,anon,userhidden,page_id,pythontime
23593,11,331095612,331093830,HongQiGong,986621.0,2009-12-11T14:46:11Z,105261,,,221174,2009-12-11 14:46:11+00:00
23594,12,331099915,331095612,Ohconfucius,736651.0,2009-12-11T15:19:04Z,105764,,,221174,2009-12-11 15:19:04+00:00
23595,13,331106220,331099915,HongQiGong,986621.0,2009-12-11T16:02:20Z,106649,,,221174,2009-12-11 16:02:20+00:00
6693,5,331152003,331090678,Spencerhansonski,10559109.0,2009-12-11T21:08:58Z,90885,,,13404,2009-12-11 21:08:58+00:00
6694,6,331152056,331152003,ClueBot,4928500.0,2009-12-11T21:09:16Z,90692,,,13404,2009-12-11 21:09:16+00:00
23596,14,331155830,331106220,Phead128,1290981.0,2009-12-11T21:33:14Z,107391,,,221174,2009-12-11 21:33:14+00:00
6695,7,331160283,331152056,173.49.17.22,0.0,2009-12-11T22:00:35Z,90885,True,,13404,2009-12-11 22:00:35+00:00
6696,8,331160950,331160283,76.69.141.63,0.0,2009-12-11T22:04:51Z,90697,True,,13404,2009-12-11 22:04:51+00:00
6697,9,331180814,331160950,168.11.166.23,0.0,2009-12-12T00:27:47Z,90680,True,,13404,2009-12-12 00:27:47+00:00
6698,10,331181034,331180814,Mononomic,8223760.0,2009-12-12T00:29:24Z,90697,,,13404,2009-12-12 00:29:24+00:00
6699,11,331188247,331181034,99.247.78.238,0.0,2009-12-12T01:17:22Z,90692,True,,13404,2009-12-12 01:17:22+00:00
6700,12,331205270,331188247,Ohconfucius,736651.0,2009-12-12T03:35:29Z,90670,,,13404,2009-12-12 03:35:29+00:00
23597,15,331213680,331155830,HongQiGong,986621.0,2009-12-12T04:52:20Z,107711,,,221174,2009-12-12 04:52:20+00:00
23598,16,331213738,331213680,HongQiGong,986621.0,2009-12-12T04:53:01Z,107712,,,221174,2009-12-12 04:53:01+00:00
6701,13,331290831,331205270,99.129.149.61,0.0,2009-12-12T18:01:00Z,88774,True,,13404,2009-12-12 18:01:00+00:00
6702,14,331290940,331290831,Nepenthes,6307443.0,2009-12-12T18:01:44Z,90670,,,13404,2009-12-12 18:01:44+00:00
6703,15,331300386,331290940,Svick,4576738.0,2009-12-12T19:09:54Z,90628,,,13404,2009-12-12 19:09:54+00:00
6704,16,331327602,331300386,222.166.160.207,0.0,2009-12-12T22:36:13Z,90720,True,,13404,2009-12-12 22:36:13+00:00
6705,17,331328989,331327602,NeilN,409043.0,2009-12-12T22:45:53Z,90628,,,13404,2009-12-12 22:45:53+00:00
6706,18,331330512,331328989,222.166.160.67,0.0,2009-12-12T22:55:43Z,90722,True,,13404,2009-12-12 22:55:43+00:00
6707,19,331331399,331330512,222.166.160.121,0.0,2009-12-12T23:01:31Z,90814,True,,13404,2009-12-12 23:01:31+00:00
6708,20,331341869,331331399,Arbor to SJ,4322169.0,2009-12-13T00:15:16Z,90722,,,13404,2009-12-13 00:15:16+00:00
6709,21,331467796,331341869,174.91.157.14,0.0,2009-12-13T18:34:17Z,90837,True,,13404,2009-12-13 18:34:17+00:00
6710,22,331469256,331467796,XLinkBot,6163802.0,2009-12-13T18:43:22Z,90722,,,13404,2009-12-13 18:43:22+00:00
23599,17,331603735,331213738,Böri,10891331.0,2009-12-14T11:58:53Z,107820,,,221174,2009-12-14 11:58:53+00:00
6711,23,331614780,331469256,78.149.6.101,0.0,2009-12-14T13:52:44Z,90748,True,,13404,2009-12-14 13:52:44+00:00
6712,24,331614936,331614780,Osarius,6496196.0,2009-12-14T13:53:53Z,90722,,,13404,2009-12-14 13:53:53+00:00
6713,25,331653951,331614936,Grindle003,11232236.0,2009-12-14T18:28:04Z,90755,,,13404,2009-12-14 18:28:04+00:00
6714,26,331654334,331653951,Neko-chan,90173.0,2009-12-14T18:30:25Z,90722,,,13404,2009-12-14 18:30:25+00:00
23600,18,331758405,331603735,DOR (HK),6036204.0,2009-12-15T05:48:41Z,108295,,,221174,2009-12-15 05:48:41+00:00
6715,27,331944405,331654334,202.82.32.177,0.0,2009-12-16T03:17:15Z,90718,True,,13404,2009-12-16 03:17:15+00:00
23601,19,331997165,331758405,Craddocktm,9049429.0,2009-12-16T09:23:31Z,111345,,,221174,2009-12-16 09:23:31+00:00
23602,20,332043847,331997165,HongQiGong,986621.0,2009-12-16T14:23:30Z,112351,,,221174,2009-12-16 14:23:30+00:00
23603,21,332044084,332043847,HongQiGong,986621.0,2009-12-16T14:24:44Z,112363,,,221174,2009-12-16 14:24:44+00:00
6716,28,332044255,331944405,HongQiGong,986621.0,2009-12-16T14:25:36Z,87333,,,13404,2009-12-16 14:25:36+00:00
23604,22,332047127,332044084,Craddocktm,9049429.0,2009-12-16T14:39:55Z,112823,,,221174,2009-12-16 14:39:55+00:00
23605,23,332091209,332047127,Rjensen,313197.0,2009-12-16T18:40:02Z,113250,,,221174,2009-12-16 18:40:02+00:00
23606,24,332204967,332091209,Craddocktm,9049429.0,2009-12-17T04:13:35Z,113855,,,221174,2009-12-17 04:13:35+00:00
6717,29,332244083,332044255,125.215.130.139,0.0,2009-12-17T08:07:13Z,87337,True,,13404,2009-12-17 08:07:13+00:00
6718,30,332246697,332244083,Ohconfucius,736651.0,2009-12-17T08:23:12Z,87333,,,13404,2009-12-17 08:23:12+00:00
23607,25,332299898,332204967,HongQiGong,986621.0,2009-12-17T14:41:06Z,114478,,,221174,2009-12-17 14:41:06+00:00
23608,26,332300082,332299898,HongQiGong,986621.0,2009-12-17T14:41:58Z,114485,,,221174,2009-12-17 14:41:58+00:00
23609,27,332335898,332300082,SchmuckyTheCat,31197.0,2009-12-17T18:08:41Z,114591,,,221174,2009-12-17 18:08:41+00:00
6719,31,332417315,332246697,203.87.187.106,0.0,2009-12-18T01:50:20Z,86830,True,,13404,2009-12-18 01:50:20+00:00
6720,32,332418098,332417315,Ohconfucius,736651.0,2009-12-18T01:56:31Z,87333,,,13404,2009-12-18 01:56:31+00:00
6721,33,332455197,332418098,Jimtaip,11157746.0,2009-12-18T07:36:40Z,87347,,,13404,2009-12-18 07:36:40+00:00
6722,34,332541899,332455197,92.234.49.215,0.0,2009-12-18T19:47:51Z,87315,True,,13404,2009-12-18 19:47:51+00:00
6723,35,332542069,332541899,92.234.49.215,0.0,2009-12-18T19:48:56Z,87267,True,,13404,2009-12-18 19:48:56+00:00
6724,36,332542318,332542069,Arbor to SJ,4322169.0,2009-12-18T19:50:41Z,87347,,,13404,2009-12-18 19:50:41+00:00
23610,28,332652429,332335898,Craddocktm,9049429.0,2009-12-19T10:32:23Z,115362,,,221174,2009-12-19 10:32:23+00:00
6725,37,332985637,332542318,202.40.139.165,0.0,2009-12-21T04:19:31Z,87348,True,,13404,2009-12-21 04:19:31+00:00
6726,38,332991194,332985637,HongQiGong,986621.0,2009-12-21T05:03:40Z,85567,,,13404,2009-12-21 05:03:40+00:00
23611,29,332992204,332652429,HongQiGong,986621.0,2009-12-21T05:13:03Z,116365,,,221174,2009-12-21 05:13:03+00:00
6727,39,332996230,332991194,TastyCakes,339650.0,2009-12-21T05:51:26Z,85493,,,13404,2009-12-21 05:51:26+00:00
6728,40,333197394,332996230,219.77.33.46,0.0,2009-12-22T05:05:30Z,85497,True,,13404,2009-12-22 05:05:30+00:00
6729,41,333197583,333197394,Elockid,9698266.0,2009-12-22T05:07:04Z,85493,,,13404,2009-12-22 05:07:04+00:00
16987,0,333373060,322643743,SmackBot,433328.0,2009-12-22T22:01:46Z,16273,,,3330025,2009-12-22 22:01:46+00:00
6730,42,333709452,333197583,Java17,8812296.0,2009-12-24T02:15:24Z,85493,,,13404,2009-12-24 02:15:24+00:00
6731,43,333709736,333709452,Java17,8812296.0,2009-12-24T02:17:46Z,85493,,,13404,2009-12-24 02:17:46+00:00
6732,44,333710433,333709736,Java17,8812296.0,2009-12-24T02:23:04Z,85440,,,13404,2009-12-24 02:23:04+00:00
6733,45,334187878,333710433,Bender235,88026.0,2009-12-27T02:13:23Z,85440,,,13404,2009-12-27 02:13:23+00:00
15643,0,334394002,330183813,ToxicOranges,9173688.0,2009-12-27T23:32:22Z,11486,,,65372,2009-12-27 23:32:22+00:00
6734,46,334505115,334187878,202.3.77.151,0.0,2009-12-28T11:15:12Z,85440,True,,13404,2009-12-28 11:15:12+00:00
6735,47,334516382,334505115,219.77.12.3,0.0,2009-12-28T12:16:25Z,85470,True,,13404,2009-12-28 12:16:25+00:00
6736,48,334551841,334516382,Bambuway,9429202.0,2009-12-28T15:14:09Z,85477,,,13404,2009-12-28 15:14:09+00:00
6737,49,334563708,334551841,HkCaGu,4301051.0,2009-12-28T16:14:07Z,85477,,,13404,2009-12-28 16:14:07+00:00
6738,50,334644657,334563708,99.174.189.216,0.0,2009-12-29T00:53:27Z,85487,True,,13404,2009-12-29 00:53:27+00:00
6739,51,334664148,334644657,HkCaGu,4301051.0,2009-12-29T03:31:43Z,85477,,,13404,2009-12-29 03:31:43+00:00
6740,52,334694316,334664148,203.218.96.224,0.0,2009-12-29T08:12:52Z,85460,True,,13404,2009-12-29 08:12:52+00:00
6741,53,334694522,334694316,203.218.96.224,0.0,2009-12-29T08:15:01Z,85459,True,,13404,2009-12-29 08:15:01+00:00
6742,54,334694779,334694522,203.218.96.224,0.0,2009-12-29T08:17:53Z,85491,True,,13404,2009-12-29 08:17:53+00:00
6743,55,334837071,334694779,24.32.29.58,0.0,2009-12-30T02:36:22Z,85547,True,,13404,2009-12-30 02:36:22+00:00
6744,56,334837284,334837071,24.32.29.58,0.0,2009-12-30T02:37:46Z,85603,True,,13404,2009-12-30 02:37:46+00:00
6745,57,334837508,334837284,Elockid,9698266.0,2009-12-30T02:39:31Z,85491,,,13404,2009-12-30 02:39:31+00:00
25455,0,334853975,313848775,WPArkansas Bot,7431769.0,2009-12-30T04:54:31Z,76,,,14923476,2009-12-30 04:54:31+00:00
6746,58,334958643,334837508,82.27.61.99,0.0,2009-12-30T19:06:48Z,85577,True,,13404,2009-12-30 19:06:48+00:00
6747,59,334959059,334958643,82.27.61.99,0.0,2009-12-30T19:09:39Z,85491,True,,13404,2009-12-30 19:09:39+00:00
16988,1,335426503,333373060,Benjwong,255977.0,2010-01-02T08:26:14Z,16364,,,3330025,2010-01-02 08:26:14+00:00
6748,60,335821437,334959059,80.184.51.254,0.0,2010-01-04T15:41:45Z,85502,True,,13404,2010-01-04 15:41:45+00:00
6749,61,335821556,335821437,80.184.51.254,0.0,2010-01-04T15:42:38Z,85491,True,,13404,2010-01-04 15:42:38+00:00
6750,62,335827603,335821556,N.shankar,8238553.0,2010-01-04T16:24:11Z,85491,,,13404,2010-01-04 16:24:11+00:00
6751,63,335978690,335827603,Rjwilmsi,203434.0,2010-01-05T10:48:19Z,85477,,,13404,2010-01-05 10:48:19+00:00
15644,1,336131905,334394002,24.12.213.139,0.0,2010-01-06T03:23:38Z,11556,True,,65372,2010-01-06 03:23:38+00:00
15645,2,336132228,336131905,24.12.213.139,0.0,2010-01-06T03:26:01Z,11571,True,,65372,2010-01-06 03:26:01+00:00
6752,64,336197944,335978690,142.227.193.2,0.0,2010-01-06T13:55:12Z,85469,True,,13404,2010-01-06 13:55:12+00:00
6753,65,336200045,336197944,213.106.248.210,0.0,2010-01-06T14:15:44Z,85354,True,,13404,2010-01-06 14:15:44+00:00
15646,3,336205258,336132228,Readin,5647774.0,2010-01-06T14:53:50Z,11486,,,65372,2010-01-06 14:53:50+00:00
6754,66,336206947,336200045,AnomieBOT,7611264.0,2010-01-06T15:09:02Z,85695,,,13404,2010-01-06 15:09:02+00:00
6755,67,336207354,336206947,Elockid,9698266.0,2010-01-06T15:11:52Z,85477,,,13404,2010-01-06 15:11:52+00:00
6756,68,336217176,336207354,98.206.87.57,0.0,2010-01-06T16:18:24Z,85481,True,,13404,2010-01-06 16:18:24+00:00
6757,69,336217747,336217176,Elockid,9698266.0,2010-01-06T16:21:25Z,85477,,,13404,2010-01-06 16:21:25+00:00
6758,70,336349293,336217747,117.20.19.18,0.0,2010-01-07T05:50:31Z,85475,True,,13404,2010-01-07 05:50:31+00:00
6759,71,336349391,336349293,NeilN,409043.0,2010-01-07T05:51:36Z,85477,,,13404,2010-01-07 05:51:36+00:00
6760,72,336522859,336349391,75.180.30.56,0.0,2010-01-08T02:12:10Z,85463,True,,13404,2010-01-08 02:12:10+00:00
6761,73,336523102,336522859,75.180.30.56,0.0,2010-01-08T02:13:51Z,85434,True,,13404,2010-01-08 02:13:51+00:00
15647,4,336850777,336205258,ArthurBot,8001475.0,2010-01-09T19:43:31Z,11521,,,65372,2010-01-09 19:43:31+00:00
6762,74,336905089,336523102,71.174.159.247,0.0,2010-01-10T00:59:56Z,85598,True,,13404,2010-01-10 00:59:56+00:00
6763,75,336905147,336905089,ClueBot,4928500.0,2010-01-10T01:00:13Z,85434,,,13404,2010-01-10 01:00:13+00:00
6764,76,336910466,336905147,Sir Edgar,334483.0,2010-01-10T01:27:22Z,85592,,,13404,2010-01-10 01:27:22+00:00
6765,77,336911028,336910466,Sir Edgar,334483.0,2010-01-10T01:30:25Z,85593,,,13404,2010-01-10 01:30:25+00:00
6766,78,337039953,336911028,67.252.155.151,0.0,2010-01-10T18:50:28Z,85570,True,,13404,2010-01-10 18:50:28+00:00
6767,79,337041439,337039953,Elockid,9698266.0,2010-01-10T18:59:19Z,85593,,,13404,2010-01-10 18:59:19+00:00
6768,80,337042222,337041439,Plastikspork,5075409.0,2010-01-10T19:03:56Z,85559,,,13404,2010-01-10 19:03:56+00:00
6769,81,337047544,337042222,70.245.127.229,0.0,2010-01-10T19:34:41Z,85290,True,,13404,2010-01-10 19:34:41+00:00
6770,82,337075603,337047544,Arbor to SJ,4322169.0,2010-01-10T22:10:53Z,85559,,,13404,2010-01-10 22:10:53+00:00
6771,83,337168186,337075603,Ckchan4i,8455606.0,2010-01-11T10:26:36Z,85547,,,13404,2010-01-11 10:26:36+00:00
6772,84,337466751,337168186,Tavatar,7644919.0,2010-01-12T21:38:53Z,85558,,,13404,2010-01-12 21:38:53+00:00
6773,85,337472856,337466751,Tavatar,7644919.0,2010-01-12T22:09:55Z,85631,,,13404,2010-01-12 22:09:55+00:00
6774,86,337512929,337472856,68.219.195.85,0.0,2010-01-13T01:44:32Z,85667,True,,13404,2010-01-13 01:44:32+00:00
6775,87,337528145,337512929,Arbor to SJ,4322169.0,2010-01-13T03:34:06Z,85631,,,13404,2010-01-13 03:34:06+00:00
6776,88,337579428,337528145,202.40.137.197,0.0,2010-01-13T11:52:55Z,85567,True,,13404,2010-01-13 11:52:55+00:00
6777,89,337596243,337579428,HongQiGong,986621.0,2010-01-13T14:11:24Z,85631,,,13404,2010-01-13 14:11:24+00:00
6778,90,337596933,337596243,67.233.59.243,0.0,2010-01-13T14:16:16Z,86055,True,,13404,2010-01-13 14:16:16+00:00
6779,91,337598103,337596933,HongQiGong,986621.0,2010-01-13T14:24:08Z,85631,,,13404,2010-01-13 14:24:08+00:00
6780,92,337800320,337598103,67.233.59.243,0.0,2010-01-14T14:21:58Z,423,True,,13404,2010-01-14 14:21:58+00:00
6781,93,337800388,337800320,Favonian,7007500.0,2010-01-14T14:22:23Z,85631,,,13404,2010-01-14 14:22:23+00:00
6782,94,337872225,337800388,161.38.221.171,0.0,2010-01-14T21:24:58Z,85631,True,,13404,2010-01-14 21:24:58+00:00
6783,95,337872423,337872225,Elockid,9698266.0,2010-01-14T21:26:16Z,85631,,,13404,2010-01-14 21:26:16+00:00
6784,96,338119588,337872423,71.179.151.74,0.0,2010-01-16T03:44:23Z,85631,True,,13404,2010-01-16 03:44:23+00:00
6785,97,338128834,338119588,Elockid,9698266.0,2010-01-16T05:19:10Z,85631,,,13404,2010-01-16 05:19:10+00:00
6786,98,338163845,338128834,SilkTork,782009.0,2010-01-16T11:26:02Z,85632,,,13404,2010-01-16 11:26:02+00:00
6787,99,338164140,338163845,SilkTork,782009.0,2010-01-16T11:29:26Z,85633,,,13404,2010-01-16 11:29:26+00:00
6788,100,338164621,338164140,SilkTork,782009.0,2010-01-16T11:35:08Z,85771,,,13404,2010-01-16 11:35:08+00:00
6789,101,338164831,338164621,SilkTork,782009.0,2010-01-16T11:37:27Z,85770,,,13404,2010-01-16 11:37:27+00:00
23612,30,338165628,332992204,SilkTork,782009.0,2010-01-16T11:45:38Z,116364,,,221174,2010-01-16 11:45:38+00:00
23613,31,338165833,338165628,SilkTork,782009.0,2010-01-16T11:47:54Z,116365,,,221174,2010-01-16 11:47:54+00:00
23614,32,338165982,338165833,SilkTork,782009.0,2010-01-16T11:49:36Z,116333,,,221174,2010-01-16 11:49:36+00:00
23615,33,338166537,338165982,SilkTork,782009.0,2010-01-16T11:54:57Z,61818,,,221174,2010-01-16 11:54:57+00:00
23616,34,338326627,338166537,219.73.92.79,0.0,2010-01-17T07:35:30Z,61944,True,,221174,2010-01-17 07:35:30+00:00
23617,35,338326721,338326627,SineBot,4936590.0,2010-01-17T07:36:33Z,62241,,,221174,2010-01-17 07:36:33+00:00
6790,102,338326838,338164831,219.73.92.79,0.0,2010-01-17T07:37:45Z,85871,True,,13404,2010-01-17 07:37:45+00:00
23618,36,338327039,338326721,219.73.92.79,0.0,2010-01-17T07:39:46Z,61818,True,,221174,2010-01-17 07:39:46+00:00
6791,103,338327205,338326838,Arbor to SJ,4322169.0,2010-01-17T07:41:18Z,85770,,,13404,2010-01-17 07:41:18+00:00
6792,104,338478644,338327205,98.221.144.25,0.0,2010-01-18T02:16:57Z,85776,True,,13404,2010-01-18 02:16:57+00:00
6793,105,338478837,338478644,98.221.144.25,0.0,2010-01-18T02:18:23Z,85766,True,,13404,2010-01-18 02:18:23+00:00
6794,106,338478992,338478837,98.221.144.25,0.0,2010-01-18T02:19:32Z,85776,True,,13404,2010-01-18 02:19:32+00:00
6795,107,338479618,338478992,HongQiGong,986621.0,2010-01-18T02:24:25Z,85770,,,13404,2010-01-18 02:24:25+00:00
23619,37,338517470,338327039,DOR (HK),6036204.0,2010-01-18T07:45:07Z,62439,,,221174,2010-01-18 07:45:07+00:00
6796,108,338567365,338479618,65.190.149.63,0.0,2010-01-18T15:58:24Z,85596,True,,13404,2010-01-18 15:58:24+00:00
6797,109,338571430,338567365,Elockid,9698266.0,2010-01-18T16:26:37Z,85770,,,13404,2010-01-18 16:26:37+00:00
6798,110,338583511,338571430,142.227.54.129,0.0,2010-01-18T17:36:37Z,85863,True,,13404,2010-01-18 17:36:37+00:00
6799,111,338584839,338583511,Gabbe,5894.0,2010-01-18T17:44:28Z,85770,,,13404,2010-01-18 17:44:28+00:00
6800,112,338683649,338584839,203.47.220.118,0.0,2010-01-19T03:32:05Z,85776,True,,13404,2010-01-19 03:32:05+00:00
6801,113,338683733,338683649,Elockid,9698266.0,2010-01-19T03:32:43Z,85770,,,13404,2010-01-19 03:32:43+00:00
6802,114,338706963,338683733,TheOnlyOne12,4458362.0,2010-01-19T06:35:33Z,85842,,,13404,2010-01-19 06:35:33+00:00
6803,115,338873408,338706963,199.84.62.171,0.0,2010-01-20T01:46:36Z,85858,True,,13404,2010-01-20 01:46:36+00:00
6804,116,338898101,338873408,HongQiGong,986621.0,2010-01-20T04:49:11Z,85842,,,13404,2010-01-20 04:49:11+00:00
6805,117,338942023,338898101,122.148.94.86,0.0,2010-01-20T12:23:29Z,85843,True,,13404,2010-01-20 12:23:29+00:00
6806,118,338948743,338942023,Jhattara,2606215.0,2010-01-20T13:26:34Z,85842,,,13404,2010-01-20 13:26:34+00:00
6807,119,339605259,338948743,173.68.184.62,0.0,2010-01-23T21:46:59Z,85861,True,,13404,2010-01-23 21:46:59+00:00
6808,120,339605659,339605259,173.68.184.62,0.0,2010-01-23T21:48:48Z,85842,True,,13404,2010-01-23 21:48:48+00:00
6809,121,339618934,339605659,78.145.23.91,0.0,2010-01-23T23:00:11Z,85843,True,,13404,2010-01-23 23:00:11+00:00
6810,122,339635892,339618934,24.238.207.242,0.0,2010-01-24T00:47:36Z,85843,True,,13404,2010-01-24 00:47:36+00:00
6811,123,339638186,339635892,Icairns,64875.0,2010-01-24T01:02:25Z,85843,,,13404,2010-01-24 01:02:25+00:00
6812,124,339646422,339638186,69.43.223.174,0.0,2010-01-24T01:59:01Z,20,True,,13404,2010-01-24 01:59:01+00:00
6813,125,339646545,339646422,Ian.thomson,2489738.0,2010-01-24T01:59:47Z,85843,,,13404,2010-01-24 01:59:47+00:00
6814,126,339659097,339646545,99.231.68.12,0.0,2010-01-24T03:39:15Z,85955,True,,13404,2010-01-24 03:39:15+00:00
6815,127,339660099,339659097,XLinkBot,6163802.0,2010-01-24T03:47:43Z,85843,,,13404,2010-01-24 03:47:43+00:00
6816,128,339803452,339660099,88.64.14.5,0.0,2010-01-24T22:14:50Z,85844,True,,13404,2010-01-24 22:14:50+00:00
6817,129,339933346,339803452,Winmax999~enwiki,7290468.0,2010-01-25T15:07:22Z,85820,,,13404,2010-01-25 15:07:22+00:00
6818,130,339948977,339933346,HongQiGong,986621.0,2010-01-25T16:37:17Z,85843,,,13404,2010-01-25 16:37:17+00:00
6819,131,340008046,339948977,173.9.202.113,0.0,2010-01-25T22:00:45Z,83324,True,,13404,2010-01-25 22:00:45+00:00
6820,132,340008260,340008046,Flyguy649,665350.0,2010-01-25T22:01:34Z,85843,,,13404,2010-01-25 22:01:34+00:00
6821,133,340008564,340008260,173.9.202.113,0.0,2010-01-25T22:02:59Z,80153,True,,13404,2010-01-25 22:02:59+00:00
6822,134,340008717,340008564,Rrburke,634828.0,2010-01-25T22:03:38Z,85843,,,13404,2010-01-25 22:03:38+00:00
6823,135,340272662,340008717,ASDFGH,2305106.0,2010-01-27T03:41:55Z,85901,,,13404,2010-01-27 03:41:55+00:00
6824,136,340539176,340272662,170.158.14.69,0.0,2010-01-28T15:37:24Z,85930,True,,13404,2010-01-28 15:37:24+00:00
6825,137,340554515,340539176,Tony Fox,983563.0,2010-01-28T17:12:01Z,85901,,,13404,2010-01-28 17:12:01+00:00
6826,138,340647186,340554515,220.246.99.161,0.0,2010-01-29T02:40:50Z,85916,True,,13404,2010-01-29 02:40:50+00:00
6827,139,340649703,340647186,218.250.177.201,0.0,2010-01-29T02:59:01Z,85923,True,,13404,2010-01-29 02:59:01+00:00
6828,140,340650502,340649703,Elockid,9698266.0,2010-01-29T03:04:17Z,85901,,,13404,2010-01-29 03:04:17+00:00
16449,0,340759903,321892145,Tavatar,7644919.0,2010-01-29T18:36:27Z,12295,,,151962,2010-01-29 18:36:27+00:00
6829,141,340783216,340650502,92.28.185.33,0.0,2010-01-29T21:00:42Z,85921,True,,13404,2010-01-29 21:00:42+00:00
6830,142,340786580,340783216,Elockid,9698266.0,2010-01-29T21:22:04Z,85901,,,13404,2010-01-29 21:22:04+00:00
6831,143,340874379,340786580,Woohookitty,159678.0,2010-01-30T09:59:57Z,85907,,,13404,2010-01-30 09:59:57+00:00
6832,144,340918900,340874379,221.127.246.220,0.0,2010-01-30T16:20:46Z,85819,True,,13404,2010-01-30 16:20:46+00:00
6833,145,340920398,340918900,Levineps,929196.0,2010-01-30T16:30:34Z,85806,,,13404,2010-01-30 16:30:34+00:00
6834,146,340955719,340920398,Colipon,14772.0,2010-01-30T20:13:01Z,85894,,,13404,2010-01-30 20:13:01+00:00
6835,147,341043425,340955719,66.183.210.66,0.0,2010-01-31T06:21:10Z,85870,True,,13404,2010-01-31 06:21:10+00:00
23620,38,341051036,338517470,74.115.162.10,0.0,2010-01-31T07:40:16Z,62672,True,,221174,2010-01-31 07:40:16+00:00
6836,148,341051282,341043425,HkCaGu,4301051.0,2010-01-31T07:43:33Z,85894,,,13404,2010-01-31 07:43:33+00:00
6837,149,341094472,341051282,Ohconfucius,736651.0,2010-01-31T15:05:12Z,85894,,,13404,2010-01-31 15:05:12+00:00
6838,150,341094698,341094472,Ohconfucius,736651.0,2010-01-31T15:06:52Z,85815,,,13404,2010-01-31 15:06:52+00:00
6839,151,341571287,341094698,92.233.63.123,0.0,2010-02-02T22:58:05Z,85865,True,,13404,2010-02-02 22:58:05+00:00
6840,152,341571966,341571287,Cst17,6898026.0,2010-02-02T23:03:08Z,85815,,,13404,2010-02-02 23:03:08+00:00
6841,153,341597436,341571966,Yoyo3641,11597633.0,2010-02-03T01:36:49Z,82845,,,13404,2010-02-03 01:36:49+00:00
6842,154,341597550,341597436,Glane23,6959733.0,2010-02-03T01:37:34Z,85815,,,13404,2010-02-03 01:37:34+00:00
6843,155,341680311,341597550,Builtseven,11601698.0,2010-02-03T13:53:05Z,488,,,13404,2010-02-03 13:53:05+00:00
6844,156,341680485,341680311,Cst17,6898026.0,2010-02-03T13:54:52Z,85815,,,13404,2010-02-03 13:54:52+00:00
6845,157,341680963,341680485,24.226.172.124,0.0,2010-02-03T13:58:15Z,85817,True,,13404,2010-02-03 13:58:15+00:00
6846,158,341686577,341680963,NerdyScienceDude,11152513.0,2010-02-03T14:38:51Z,85815,,,13404,2010-02-03 14:38:51+00:00
6847,159,341813194,341686577,174.112.180.255,0.0,2010-02-04T02:45:14Z,85851,True,,13404,2010-02-04 02:45:14+00:00
6848,160,341813440,341813194,174.112.180.255,0.0,2010-02-04T02:46:52Z,85879,True,,13404,2010-02-04 02:46:52+00:00
6849,161,341813491,341813440,68.199.114.121,0.0,2010-02-04T02:47:16Z,85937,True,,13404,2010-02-04 02:47:16+00:00
6850,162,341817245,341813491,Arbor to SJ,4322169.0,2010-02-04T03:13:27Z,85879,,,13404,2010-02-04 03:13:27+00:00
6851,163,341955508,341817245,206.254.146.2,0.0,2010-02-04T20:24:30Z,85887,True,,13404,2010-02-04 20:24:30+00:00
